possible_ticker_count,raw_sector_compound,date,has_observed_news,sector,ticker_coverage_share,observed_ticker_count,signal_window_trading_days,signal_window_actual_trading_days,signal_window_start_date,signal_window_end_date,latest_raw_news_date_used,trailing_coverage_weighted_sentiment,effective_coverage,expanding_prior_mean,expanding_prior_std,expanding_prior_observations,raw_trailing_zscore,clipped_trailing_zscore,coverage_adjusted_zscore,min_history_observations,zscore_clip_bound,zscore_std_ddof,exploratory_method_label
5,0.006621875000000013,2020-05-08,True,Industrials,0.8,4,21,21,2020-04-08,2020-05-07,2020-05-07,0.08398089996399809,0.9238095238095239,0.06344734642205054,0.022863135292947843,87,0.8981075114523399,0.8981075114523399,0.8632161286851584,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.10613194444444445,2020-05-08,True,Materials,0.6,3,21,21,2020-04-08,2020-05-07,2020-05-07,0.11927747469869174,0.8285714285714286,0.09248245832851865,0.03662527202496974,87,0.7315991087221209,0.7315991087221209,0.6659446656679742,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.18711666666666668,2020-05-08,True,RealEstate,0.4,2,21,21,2020-04-08,2020-05-07,2020-05-07,0.13369233279220782,0.7619047619047619,0.10639384544850441,0.048209279282188995,87,0.5662496463370462,0.5662496463370462,0.4942632126821882,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.5527614285714286,2020-05-08,True,Tech,0.8,4,21,21,2020-04-08,2020-05-07,2020-05-07,0.16564702636465628,0.9523809523809523,0.09250708252893322,0.039766658859292994,87,1.8392277836193203,1.8392277836193203,1.7949025282030637,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.10359757575757576,2020-05-08,True,Utilities,0.8,4,21,21,2020-04-08,2020-05-07,2020-05-07,0.14933355495064035,0.7904761904761904,0.16831323165949788,0.056315291499456965,87,-0.33702527685647415,-0.33702527685647415,-0.29964488650552107,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.12894285714285716,2020-05-11,True,Comm,1.0,5,21,21,2020-04-09,2020-05-08,2020-05-08,0.09391993982600086,0.819047619047619,0.09752588144440236,0.028292315165123056,88,-0.12745304148338735,-0.12745304148338735,-0.1153465952753444,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.08602495833333333,2020-05-11,True,Consumer,1.0,5,21,21,2020-04-09,2020-05-08,2020-05-08,0.1011954053142734,0.9714285714285714,0.06796439685484258,0.03533190277636406,88,0.9405383194267511,0.9405383194267511,0.9270046883922635,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,-0.05607011111111111,2020-05-11,True,Energy,1.0,5,21,21,2020-04-09,2020-05-08,2020-05-08,0.037839453595781614,0.9619047619047619,0.08466147584552913,0.03453818534266143,88,-1.3556595919911616,-1.3556595919911616,-1.329586781011024,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.161149,2020-05-11,True,Financials,1.0,5,21,21,2020-04-09,2020-05-08,2020-05-08,0.07118660818348319,0.9714285714285714,0.10606054080244344,0.04728597557530969,88,-0.7375111160267492,-0.7375111160267492,-0.7268988920248365,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.029247487922705317,2020-05-11,True,Healthcare,1.0,5,21,21,2020-04-09,2020-05-08,2020-05-08,0.09320129509361764,0.9428571428571428,0.16098384340038263,0.03255768260056391,88,-2.0819217736827182,-2.0,-1.942016624910449,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.2866916666666667,2020-05-11,True,Industrials,1.0,5,21,21,2020-04-09,2020-05-08,2020-05-08,0.0768604567096548,0.9142857142857143,0.06368068225775449,0.022836502785384277,88,0.5771362881507224,0.5771362881507224,0.5518478424662414,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.07112750000000001,2020-05-11,True,Materials,0.8,4,21,21,2020-04-09,2020-05-08,2020-05-08,0.1138794123889866,0.819047619047619,0.09278694715090698,0.036526029373641425,88,0.5774639510447516,0.5774639510447516,0.5226120920460123,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.013816666666666663,2020-05-11,True,RealEstate,0.6,3,21,21,2020-04-09,2020-05-08,2020-05-08,0.11340153790653788,0.7428571428571429,0.1067040555319556,0.04801966976185997,88,0.13947372832417557,0.13947372832417557,0.12021123589139653,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.12826677777777779,2020-05-11,True,Tech,1.0,5,21,21,2020-04-09,2020-05-08,2020-05-08,0.17780149849243782,0.9428571428571428,0.09333821825433918,0.04029887731979409,88,2.0959214215283306,2.0,1.942016624910449,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.23801458333333333,2020-05-11,True,Utilities,0.8,4,21,21,2020-04-09,2020-05-08,2020-05-08,0.14743029839921706,0.8095238095238095,0.16809755351507905,0.056027248245629796,88,-0.36887863964431017,-0.36887863964431017,-0.33189317439137284,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
5,0.068945,2020-05-12,True,Comm,1.0,5,21,21,2020-04-13,2020-05-11,2020-05-11,0.1027516950862445,0.819047619047619,0.0974853652464428,0.028133700712753573,89,0.18718937453594106,0.18718937453594106,0.16940872319046527,60,2.0,1,exploratory robustness extension (fixed 21-day coverage signal)
