date,sector,raw_sector_finbert,sector_probability_positive,sector_probability_negative,sector_probability_neutral,observed_ticker_count,headline_count,possible_ticker_count,ticker_coverage_share,has_observed_news,sentiment_model,score_name,text_input_column,text_preprocessing,raw_index_purpose
2021-02-01,Tech,0.39504860636245986,0.4625206701191408,0.06747206375668086,0.47000724787690806,4,15,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-01,Utilities,0.14721853472292418,0.1620955467224121,0.014877011999487799,0.8230274021625519,1,2,5,0.2,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-02,Comm,-0.06764339678920808,0.22073101631055275,0.28837441309976075,0.49089456374446544,5,18,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-02,Consumer,0.0702628038202723,0.1969765812779466,0.12671377745767431,0.6763096402088801,5,14,5,1.0,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-02,Energy,-0.11842549617037347,0.21136954822169055,0.3297950443920641,0.45883540956750074,3,23,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-02,Financials,0.19696520705668563,0.2253757649955029,0.028410557938817246,0.7462136829892794,4,16,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-02,Healthcare,0.23631580996637544,0.3495945790006469,0.1132787690342714,0.5371266701258719,3,16,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-02,Industrials,0.1266086237737909,0.19615594802710867,0.06954732425331778,0.734296713060198,4,20,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-02,Materials,0.0238122772425413,0.0472375564277172,0.0234252791851758,0.9293371438980104,1,1,5,0.2,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-02,RealEstate,0.041872305795550326,0.061584966464175085,0.019712660668624756,0.9187023440996805,3,6,5,0.6,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
2021-02-02,Tech,0.1620578300207853,0.185563338920474,0.02350550889968866,0.7909311577677727,4,6,5,0.8,True,ProsusAI/finbert,P(positive) - P(negative),text_raw,none,retrospective descriptive robustness index
